Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.7767483,0.00029997024,0.70281243,-3.7495997024767953,1639.6666666666667,-3.6996393343433738
20000,1.7839298,0.00029991023,0.5071202,-4.166266334500203,1639.6666666666667,-4.666265972695935
30000,1.7897304,0.00029985022,0.41696286,-2.4162664941347125,1639.6666666666667,-2.49959960343161
40000,1.7896594,0.0002997902,0.3567621,-3.582933025623788,1639.6666666666667,-2.8329329057208574
50000,1.7781737,0.0002997302,0.3352811,-6.916266137205336,1639.6666666666667,-6.999598826087701
60000,1.7588377,0.00029967024,0.24500608,-3.6662663258854686,1639.6666666666667,-3.16626614468017
70000,1.7456698,0.00029961023,0.18355158,-4.582932929930394,1639.6666666666667,-4.999599127215333
80000,1.707193,0.0002995502,0.14683792,-5.832932816570974,1639.6666666666667,-6.582932191706884
90000,1.7343465,0.0002994902,0.10687795,-1.582933196637896,1639.6666666666667,-1.499599787212598
100000,1.733122,0.0002994302,0.05734472,-2.666266479107435,1639.6666666666667,-2.2495997064979747
110000,1.6976765,0.00029937018,0.048873242,-2.166266486781145,1639.6666666666667,-2.666266381236104
120000,1.6890054,0.00029931022,0.00032185626,-3.5829330439203964,1639.6666666666667,-2.999599499744363
130000,1.688144,0.0002992502,0.039240602,-2.1662665353166326,1639.6666666666667,-1.916266465676017
140000,1.6989934,0.0002991902,-0.060068954,-2.7495998112475113,1639.6666666666667,-2.999599583563395
150000,1.7026192,0.0002991302,-0.029940868,-1.6662665497133275,1639.6666666666667,-2.1662664594672
160000,1.6352774,0.00029907023,-0.10874858,-4.082932936469054,1639.6666666666667,-4.082932504631269
170000,1.6561706,0.00029901022,-0.05633955,-1.832933205126513,1639.6666666666667,-1.832933064045695
180000,1.573308,0.0002989502,-0.096531175,-2.6662664628869,1639.6666666666667,-2.49959970836062
190000,1.5960191,0.0002988902,-0.1367337,-2.416266474266498,1639.6666666666667,-2.4162662700982764
200000,1.6397548,0.0002988302,-0.12072938,-3.4995997420871086,1639.6666666666667,-3.166266258301524
210000,1.6557539,0.00029877023,-0.07030111,-1.4162665793895333,1639.6666666666667,-1.749599787212598
220000,1.5124121,0.00029871022,-0.09559694,-2.2495998387215272,1639.6666666666667,-2.416266364084246
230000,1.4441618,0.0002986502,-0.13157712,-2.749599825896439,1639.6666666666667,-2.58293298271019
240000,1.4168978,0.0002985902,-0.12790403,-1.8329332066981199,1639.6666666666667,-1.9995997331958886
250000,1.4308885,0.00029853024,-0.10328031,-2.249599785907776,1639.6666666666667,-2.249599617711889
260000,1.2556938,0.00029847023,-0.0685505,-1.4995998995194288,1639.6666666666667,-1.4995998921416078
270000,1.30777,0.00029841022,-0.085209124,-1.6662665894497575,1639.6666666666667,-1.6662664836815868
280000,1.3612651,0.0002983502,-0.09158049,-1.5829332395175395,1639.6666666666667,-1.5829331993979092
290000,1.280307,0.0002982902,-0.10511301,-1.7495998698432231,1639.6666666666667,-1.7495997766576086
300000,1.2256944,0.00029823024,-0.09696551,-2.249599831930633,1639.6666666666667,-1.999599747476168
310000,1.3513863,0.00029817023,-0.097095214,-1.2495999093274197,1639.6666666666667,-1.4995998027346407
320000,1.1502115,0.00029811022,-0.104064874,-1.4995999094535364,1639.6666666666667,-1.4162665196927264
330000,1.0972351,0.0002980502,-0.06391347,-0.9995999505093399,1639.6666666666667,-1.0829332732828334
340000,1.2492702,0.0002979902,-0.06214991,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
350000,1.0759822,0.00029793018,-0.087006345,-1.916266531542836,1639.6666666666667,-1.9162664246978238
360000,1.2287976,0.00029787023,-0.07576922,-1.5829332494516468,1639.6666666666667,-1.5829331708373502
370000,1.1314232,0.0002978102,-0.07242515,-1.41626658096114,1639.6666666666667,-1.4162665650170918
380000,1.087441,0.0002977502,-0.06250066,-1.249599940701349,1639.6666666666667,-1.0829332633487259
390000,0.93625134,0.00029769025,-0.10683121,-1.499599897947822,1639.6666666666667,-1.6662665327312425
400000,1.2059257,0.00029763023,-0.0797142,-1.9162665200371218,1639.6666666666667,-1.832933182013221
410000,1.0943428,0.00029757022,-0.096044324,-1.4995998995194288,1639.6666666666667,-1.4162665234180167
420000,1.1948364,0.00029751018,-0.09413348,-1.4162665908952476,1639.6666666666667,-1.5829331913264468
430000,1.1624612,0.0002974502,-0.0583822,-1.1662666007032385,1639.6666666666667,-0.9995999505044892
440000,0.95978045,0.0002973902,-0.055780236,-0.9995999505093399,1639.6666666666667,-1.1662665867479518
450000,0.83549887,0.00029733023,-0.07640085,-1.4162665908952476,1639.6666666666667,-1.2495999188395217
460000,0.9369978,0.0002972702,-0.09107675,-0.9995999489377331,1639.6666666666667,-1.1662666295887902
470000,0.99434775,0.0002972102,-0.070772804,-1.7495998813489375,1639.6666666666667,-1.2495998797239736
480000,0.8865571,0.0002971502,-0.069554046,-1.166266610637346,1639.6666666666667,-1.4995998493007694
490000,0.88619065,0.0002970902,-0.07578207,-0.9995999489377331,1639.6666666666667,-1.16626658612707
500000,0.8920814,0.00029703023,-0.057853792,-1.1662666007032385,1639.6666666666667,-0.9995999442956721
510000,0.8874857,0.0002969702,-0.0815187,-1.4995999209592508,1639.6666666666667,-1.6662665345938876
520000,0.8140056,0.0002969102,-0.07853209,-1.082933279001736,1639.6666666666667,-1.0829332770081237
530000,0.95671535,0.0002968502,-0.056699652,-1.4995999209592508,1639.6666666666667,-1.4995998493007694
540000,0.8359381,0.0002967902,-0.04568576,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
550000,0.8173891,0.0002967302,-0.06386308,-1.166266610637346,1639.6666666666667,-1.166266605995285
560000,0.9122127,0.0002966702,-0.07259462,-1.166266610637346,1639.6666666666667,-1.1662665867479518
570000,0.88029253,0.0002966102,-0.08007885,-1.166266610637346,1639.6666666666667,-0.9995999505044892
580000,0.90962803,0.00029655022,-0.06861655,-1.499599930893358,1639.6666666666667,-1.6662664749892429
590000,1.0273212,0.0002964902,-0.05885042,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
600000,0.83277065,0.0002964302,-0.050314315,-1.166266610637346,1639.6666666666667,-0.9995999505044892
610000,0.77779967,0.00029637018,-0.060463913,-0.91626661887373,1639.6666666666667,-1.0829332770081237
620000,0.8460091,0.0002963102,-0.046651933,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
630000,0.78837204,0.0002962502,-0.05126679,-1.082933280573343,1639.6666666666667,-1.0829332732828334
640000,0.9648575,0.0002961902,-0.04644753,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
650000,0.93515474,0.00029613022,-0.05119771,-1.0829332706392354,1639.6666666666667,-1.0829332633487259
660000,1.0400386,0.00029607018,-0.05631806,-1.3329332310289221,1639.6666666666667,-0.9995999505044892
670000,1.0335963,0.0002960102,-0.0662693,-0.8329332872381201,1639.6666666666667,-1.1662665103795007
680000,1.1025503,0.0002959502,-0.06072154,-1.249599940701349,1639.6666666666667,-1.0829332732828334
690000,0.92109364,0.0002958902,-0.057571672,-1.2495999307672416,1639.6666666666667,-1.41626656439621
700000,0.9774801,0.0002958302,-0.05831388,-1.7495998782057238,1639.6666666666667,-1.6662664467197221
710000,0.7002539,0.0002957702,-0.086742274,-1.2495999307672416,1639.6666666666667,-1.2495999194604035
720000,0.91940373,0.0002957102,-0.099028915,-1.4162665793895333,1639.6666666666667,-1.4995999020757154
730000,0.7629156,0.00029565018,-0.06138622,-0.9995999516443893,1639.6666666666667,-0.9995999511253709
740000,0.73658776,0.0002955902,-0.061593805,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
750000,0.6555256,0.0002955302,-0.06709618,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
760000,0.8733954,0.0002954702,-0.07029465,-0.9995999390036255,1639.6666666666667,-0.9995999293945109
770000,0.8819384,0.0002954102,-0.0785573,-1.249599920833134,1639.6666666666667,-1.2495999002130702
780000,0.8921223,0.0002953502,-0.084944494,-1.1662666090657392,1639.6666666666667,-1.082933283216941
790000,0.88366485,0.0002952902,-0.080881685,-1.2495999307672416,1639.6666666666667,-1.3329332403761025
800000,1.0360782,0.0002952302,-0.07322663,-0.9995999390036255,1639.6666666666667,-0.9995999343615646
810000,1.1752851,0.0002951702,-0.06863141,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
820000,1.1514456,0.0002951102,-0.068141386,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
830000,1.2023857,0.0002950502,-0.07732302,-1.2495999192615272,1639.6666666666667,-1.1662665948194142
840000,1.3767182,0.0002949902,-0.074701354,-1.3329332508971372,1639.6666666666667,-1.416266535835651
850000,1.1126422,0.0002949302,-0.07739843,-1.0829332706392354,1639.6666666666667,-1.0829332732828334
860000,1.1553758,0.0002948702,-0.078728855,-1.2495999291956348,1639.6666666666667,-1.2495999275318657
870000,1.2635171,0.0002948102,-0.079547256,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
880000,1.4344015,0.0002947502,-0.08229038,-1.0829332706392354,1639.6666666666667,-1.0829332732828334
890000,1.1826966,0.0002946902,-0.095618285,-0.9995999489377331,1639.6666666666667,-0.999599964163887
900000,1.0669333,0.00029463018,-0.09213186,-1.4162665710270328,1639.6666666666667,-1.416266555703866
910000,0.90064585,0.0002945702,-0.08422753,-1.249599920833134,1639.6666666666667,-1.166266566879737
920000,0.8397203,0.00029451022,-0.06458873,-0.9995999505093399,1639.6666666666667,-1.0829332633487259
930000,0.8803685,0.0002944502,-0.07371986,-1.6662665711531492,1639.6666666666667,-1.1662666066161667
940000,0.7172834,0.0002943902,-0.06575777,-1.0829332674960217,1639.6666666666667,-1.5829331590405975
950000,0.73827004,0.00029433018,-0.07774934,-1.3329332608312445,1639.6666666666667,-1.332933221749651
960000,0.9642948,0.0002942702,-0.0755301,-1.1662666007032385,1639.6666666666667,-0.9995999505044892
970000,0.7870552,0.0002942102,-0.08019751,-1.166266610637346,1639.6666666666667,-1.332933252172855
980000,0.9427033,0.0002941502,-0.06680061,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
990000,0.86308753,0.0002940902,-0.05076891,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1000000,0.8699515,0.0002940302,-0.07050833,-1.0829332706392354,1639.6666666666667,-1.0829332534146185
1010000,0.9228148,0.0002939702,-0.05672094,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1020000,0.9535116,0.0002939102,-0.06829912,-1.166266590769131,1639.6666666666667,-0.9995999505044892
1030000,0.8079035,0.0002938502,-0.06704902,-1.3329332608312445,1639.6666666666667,-1.4995998579931136
1040000,0.8314161,0.00029379022,-0.07441609,-1.3329332691937452,1639.6666666666667,-1.3329332167825971
1050000,0.77435887,0.0002937302,-0.054418117,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1060000,1.0270002,0.0002936702,-0.06638027,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1070000,1.0434858,0.0002936102,-0.053121112,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1080000,0.65984243,0.0002935502,-0.041768275,-1.3329332508971372,1639.6666666666667,-1.3329332422387477
1090000,0.94601744,0.00029349021,-0.0750279,-1.166266590769131,1639.6666666666667,-1.1662665960611776
1100000,0.94247854,0.0002934302,-0.05484631,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1110000,0.9365319,0.0002933702,-0.063095644,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1120000,1.0449852,0.0002933102,-0.07616678,-1.4995999110251432,1639.6666666666667,-1.499599819498447
1130000,1.0044867,0.0002932502,-0.07151689,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1140000,0.9801218,0.00029319018,-0.066905715,-0.91626661887373,1639.6666666666667,-0.9162666314514354
1150000,0.8303721,0.0002931302,-0.07616547,-0.91626661887373,1639.6666666666667,-0.9162666314514354
1160000,0.9648338,0.0002930702,-0.06515398,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1170000,0.8670127,0.00029301018,-0.058802888,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1180000,0.89616954,0.0002929502,-0.051500604,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1190000,0.7805837,0.0002928902,-0.059000675,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1200000,1.0529656,0.0002928302,-0.063482136,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1210000,1.1605166,0.0002927702,-0.0597032,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1220000,0.9149939,0.0002927102,-0.06929895,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1230000,0.8049248,0.0002926502,-0.07047248,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1240000,0.7067531,0.0002925902,-0.06952311,-1.1662666007032385,1639.6666666666667,-0.9995999505044892
1250000,0.93334293,0.0002925302,-0.06214513,-0.9995999505093399,1639.6666666666667,-1.1662665960611776
1260000,0.8143575,0.00029247018,-0.06108861,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1270000,0.7443518,0.0002924102,-0.06307185,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1280000,0.71199846,0.0002923502,-0.061966803,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1290000,1.0975527,0.0002922902,-0.05833022,-1.166266610637346,1639.6666666666667,-1.1662665960611776
1300000,0.82192236,0.0002922302,-0.05879905,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1310000,0.92102396,0.0002921702,-0.055962056,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1320000,0.73259455,0.0002921102,-0.055034544,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1330000,1.0510534,0.0002920502,-0.05937639,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1340000,0.7168023,0.0002919902,-0.057343334,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1350000,0.7188099,0.0002919302,-0.054079317,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1360000,0.92944235,0.0002918702,-0.059074625,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1370000,0.84459764,0.0002918102,-0.053519048,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1380000,0.94465184,0.0002917502,-0.051163867,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
1390000,1.0767586,0.0002916902,-0.05969979,-0.9995999505093399,1639.6666666666667,-0.9995999505044892
